N,Time,Tag
5000,26914,parallel
5000,47444,sequential
5500,32337,parallel
5500,58354,sequential
6000,32422,parallel
6000,69349,sequential
6500,40599,parallel
6500,74022,sequential
7000,46149,parallel
7000,95296,sequential
7500,48290,parallel
7500,113807,sequential
8000,64316,parallel
8000,116091,sequential
8500,64749,parallel
8500,130936,sequential
9000,71853,parallel
9000,151053,sequential
9500,80952,parallel
9500,171877,sequential
10000,87226,parallel
10000,177112,sequential
5000,25000,parallel
5000,48043,sequential
5500,32080,parallel
5500,56776,sequential
6000,33499,parallel
6000,67807,sequential
6500,40912,parallel
6500,89284,sequential
7000,44869,parallel
7000,90308,sequential
7500,59063,parallel
7500,110722,sequential
8000,55015,parallel
8000,121837,sequential
8500,65473,parallel
8500,131896,sequential
9000,71977,parallel
9000,147157,sequential
9500,77462,parallel
9500,169079,sequential
10000,87086,parallel
10000,177315,sequential
5000,23839,parallel
5000,45644,sequential
5500,32202,parallel
5500,56231,sequential
6000,34412,parallel
6000,70834,sequential
6500,41391,parallel
6500,80966,sequential
7000,44549,parallel
7000,89303,sequential
7500,48538,parallel
7500,110503,sequential
8000,58350,parallel
8000,115708,sequential
8500,64284,parallel
8500,127095,sequential
9000,73836,parallel
9000,149710,sequential
9500,80948,parallel
9500,171187,sequential
10000,88770,parallel
10000,187606,sequential
5000,24119,parallel
5000,49199,sequential
5500,30753,parallel
5500,57817,sequential
6000,35240,parallel
6000,72521,sequential
6500,41517,parallel
6500,77313,sequential
7000,46704,parallel
7000,89228,sequential
7500,48325,parallel
7500,100697,sequential
8000,58540,parallel
8000,117886,sequential
8500,66684,parallel
8500,132788,sequential
9000,72875,parallel
9000,143678,sequential
9500,80696,parallel
9500,163051,sequential
10000,86367,parallel
10000,179129,sequential
5000,25854,parallel
5000,52677,sequential
5500,28387,parallel
5500,55353,sequential
6000,32146,parallel
6000,67368,sequential
6500,37500,parallel
6500,78100,sequential
7000,47484,parallel
7000,94425,sequential
7500,50588,parallel
7500,101322,sequential
8000,57770,parallel
8000,123284,sequential
8500,63139,parallel
8500,129963,sequential
9000,69164,parallel
9000,158536,sequential
9500,80444,parallel
9500,159671,sequential
10000,88005,parallel
10000,181718,sequential
5000,23192,parallel
5000,46063,sequential
5500,27730,parallel
5500,57661,sequential
6000,32726,parallel
6000,66942,sequential
6500,38663,parallel
6500,75128,sequential
7000,44373,parallel
7000,89397,sequential
7500,51805,parallel
7500,101010,sequential
8000,58204,parallel
8000,121349,sequential
8500,62504,parallel
8500,127692,sequential
9000,71404,parallel
9000,147188,sequential
9500,77716,parallel
9500,170792,sequential
10000,87902,parallel
10000,181854,sequential
5000,25063,parallel
5000,47455,sequential
5500,31817,parallel
5500,55054,sequential
6000,35717,parallel
6000,72204,sequential
6500,40919,parallel
6500,79430,sequential
7000,43632,parallel
7000,89500,sequential
7500,52070,parallel
7500,104829,sequential
8000,55549,parallel
8000,120249,sequential
8500,65252,parallel
8500,131505,sequential
9000,72726,parallel
9000,145503,sequential
9500,78689,parallel
9500,160249,sequential
10000,92148,parallel
10000,185487,sequential
5000,23388,parallel
5000,45656,sequential
5500,30499,parallel
5500,57006,sequential
6000,34378,parallel
6000,70039,sequential
6500,40088,parallel
6500,77908,sequential
7000,46960,parallel
7000,93821,sequential
7500,48504,parallel
7500,102394,sequential
8000,59204,parallel
8000,122014,sequential
8500,65252,parallel
8500,137739,sequential
9000,73442,parallel
9000,149678,sequential
9500,81150,parallel
9500,170885,sequential
10000,89042,parallel
10000,185814,sequential
5000,23322,parallel
5000,46614,sequential
5500,31330,parallel
5500,55511,sequential
6000,35865,parallel
6000,67769,sequential
6500,42112,parallel
6500,79802,sequential
7000,44826,parallel
7000,91060,sequential
7500,48675,parallel
7500,105455,sequential
8000,59881,parallel
8000,116456,sequential
8500,64382,parallel
8500,132415,sequential
9000,72466,parallel
9000,150942,sequential
9500,82291,parallel
9500,163067,sequential
10000,88287,parallel
10000,189398,sequential
5000,23735,parallel
5000,48555,sequential
5500,30241,parallel
5500,51587,sequential
6000,35022,parallel
6000,63992,sequential
6500,40127,parallel
6500,77080,sequential
7000,46573,parallel
7000,92486,sequential
7500,49656,parallel
7500,106703,sequential
8000,63007,parallel
8000,119156,sequential
8500,64423,parallel
8500,130470,sequential
9000,71636,parallel
9000,144992,sequential
9500,80161,parallel
9500,162905,sequential
10000,87981,parallel
10000,181414,sequential
5000,26617,parallel
5000,44998,sequential
5500,27987,parallel
5500,55774,sequential
6000,32712,parallel
6000,63242,sequential
6500,37632,parallel
6500,80139,sequential
7000,44804,parallel
7000,90079,sequential
7500,52713,parallel
7500,105975,sequential
8000,58545,parallel
8000,117148,sequential
8500,61811,parallel
8500,137026,sequential
9000,69160,parallel
9000,147250,sequential
9500,81500,parallel
9500,160735,sequential
10000,88075,parallel
10000,186122,sequential
5000,24801,parallel
5000,51835,sequential
5500,27952,parallel
5500,60985,sequential
6000,32988,parallel
6000,64789,sequential
6500,38428,parallel
6500,76709,sequential
7000,43545,parallel
7000,89387,sequential
7500,51992,parallel
7500,104810,sequential
8000,55697,parallel
8000,119514,sequential
8500,65507,parallel
8500,131810,sequential
9000,72564,parallel
9000,151814,sequential
9500,77174,parallel
9500,160371,sequential
10000,88990,parallel
10000,175994,sequential
5000,23784,parallel
5000,43834,sequential
5500,30483,parallel
5500,53966,sequential
6000,34250,parallel
6000,69859,sequential
6500,42800,parallel
6500,80444,sequential
7000,45586,parallel
7000,94019,sequential
7500,49049,parallel
7500,102911,sequential
8000,59005,parallel
8000,118506,sequential
8500,64474,parallel
8500,134350,sequential
9000,71670,parallel
9000,148993,sequential
9500,81174,parallel
9500,169857,sequential
10000,88270,parallel
10000,189057,sequential
5000,23417,parallel
5000,43963,sequential
5500,30189,parallel
5500,57935,sequential
6000,34170,parallel
6000,66812,sequential
6500,42506,parallel
6500,79565,sequential
7000,48143,parallel
7000,95124,sequential
7500,50803,parallel
7500,102363,sequential
8000,59348,parallel
8000,118879,sequential
8500,65604,parallel
8500,124375,sequential
9000,72896,parallel
9000,142603,sequential
9500,80480,parallel
9500,163576,sequential
10000,85714,parallel
10000,174803,sequential
5000,26293,parallel
5000,47515,sequential
5500,27668,parallel
5500,56911,sequential
6000,32673,parallel
6000,70307,sequential
6500,37959,parallel
6500,82083,sequential
7000,48419,parallel
7000,99054,sequential
7500,49486,parallel
7500,103500,sequential
8000,61085,parallel
8000,122289,sequential
8500,64315,parallel
8500,133262,sequential
9000,71601,parallel
9000,159956,sequential
9500,82378,parallel
9500,165192,sequential
10000,87341,parallel
10000,188965,sequential
5000,24910,parallel
5000,49960,sequential
5500,28957,parallel
5500,59983,sequential
6000,32800,parallel
6000,63179,sequential
6500,38858,parallel
6500,85865,sequential
7000,47633,parallel
7000,94045,sequential
7500,50251,parallel
7500,109151,sequential
8000,58812,parallel
8000,120515,sequential
8500,67487,parallel
8500,132251,sequential
9000,73199,parallel
9000,148311,sequential
9500,80456,parallel
9500,162724,sequential
10000,87665,parallel
10000,187807,sequential
5000,23953,parallel
5000,46956,sequential
5500,31943,parallel
5500,54678,sequential
6000,33811,parallel
6000,72330,sequential
6500,38851,parallel
6500,83202,sequential
7000,48005,parallel
7000,95952,sequential
7500,49091,parallel
7500,104966,sequential
8000,60598,parallel
8000,121689,sequential
8500,64529,parallel
8500,132528,sequential
9000,74213,parallel
9000,144973,sequential
9500,81874,parallel
9500,164322,sequential
10000,87547,parallel
10000,188131,sequential
5000,23560,parallel
5000,46763,sequential
5500,28668,parallel
5500,57644,sequential
6000,33172,parallel
6000,68898,sequential
6500,43841,parallel
6500,73258,sequential
7000,48412,parallel
7000,91161,sequential
7500,51005,parallel
7500,104660,sequential
8000,59258,parallel
8000,115972,sequential
8500,67367,parallel
8500,130242,sequential
9000,75729,parallel
9000,141533,sequential
9500,81120,parallel
9500,162160,sequential
10000,87333,parallel
10000,180214,sequential
5000,24753,parallel
5000,47211,sequential
5500,27723,parallel
5500,57345,sequential
6000,32390,parallel
6000,67123,sequential
6500,37641,parallel
6500,76296,sequential
7000,43893,parallel
7000,90878,sequential
7500,53320,parallel
7500,99081,sequential
8000,56389,parallel
8000,126405,sequential
8500,62223,parallel
8500,128538,sequential
9000,68760,parallel
9000,154006,sequential
9500,78651,parallel
9500,160480,sequential
10000,89146,parallel
10000,189778,sequential
5000,23706,parallel
5000,45268,sequential
5500,28118,parallel
5500,54021,sequential
6000,33556,parallel
6000,69472,sequential
6500,39394,parallel
6500,84577,sequential
7000,44188,parallel
7000,95287,sequential
7500,52462,parallel
7500,104353,sequential
8000,56497,parallel
8000,125641,sequential
8500,61634,parallel
8500,139596,sequential
9000,68543,parallel
9000,155275,sequential
9500,82966,parallel
9500,160826,sequential
10000,88047,parallel
10000,181624,sequential
5000,23013,parallel
5000,48543,sequential
5500,29896,parallel
5500,54823,sequential
6000,33550,parallel
6000,66335,sequential
6500,41621,parallel
6500,75507,sequential
7000,43765,parallel
7000,93218,sequential
7500,49624,parallel
7500,104366,sequential
8000,54981,parallel
8000,113229,sequential
8500,67294,parallel
8500,126482,sequential
9000,74695,parallel
9000,142132,sequential
9500,80228,parallel
9500,169020,sequential
10000,86778,parallel
10000,187053,sequential
5000,23552,parallel
5000,46220,sequential
5500,31789,parallel
5500,58017,sequential
6000,34011,parallel
6000,65410,sequential
6500,40044,parallel
6500,77591,sequential
7000,47497,parallel
7000,95316,sequential
7500,49619,parallel
7500,105764,sequential
8000,61255,parallel
8000,118538,sequential
8500,65591,parallel
8500,130979,sequential
9000,72184,parallel
9000,153602,sequential
9500,80623,parallel
9500,165943,sequential
10000,87350,parallel
10000,177974,sequential
5000,25089,parallel
5000,46725,sequential
5500,30245,parallel
5500,61811,sequential
6000,32956,parallel
6000,67175,sequential
6500,41245,parallel
6500,82949,sequential
7000,47236,parallel
7000,85476,sequential
7500,51181,parallel
7500,101207,sequential
8000,59897,parallel
8000,117845,sequential
8500,65470,parallel
8500,127619,sequential
9000,72092,parallel
9000,145137,sequential
9500,80537,parallel
9500,165145,sequential
10000,85885,parallel
10000,184783,sequential
5000,28998,parallel
5000,47053,sequential
5500,27813,parallel
5500,59816,sequential
6000,32551,parallel
6000,68422,sequential
6500,38399,parallel
6500,78921,sequential
7000,45132,parallel
7000,99041,sequential
7500,50623,parallel
7500,107268,sequential
8000,60203,parallel
8000,123342,sequential
8500,67305,parallel
8500,131617,sequential
9000,72124,parallel
9000,151463,sequential
9500,80525,parallel
9500,163573,sequential
10000,87972,parallel
10000,183150,sequential
5000,24135,parallel
5000,51668,sequential
5500,29612,parallel
5500,58690,sequential
6000,33045,parallel
6000,69142,sequential
6500,38600,parallel
6500,80701,sequential
7000,48402,parallel
7000,95116,sequential
7500,49695,parallel
7500,104815,sequential
8000,58920,parallel
8000,115911,sequential
8500,61890,parallel
8500,135153,sequential
9000,69643,parallel
9000,143344,sequential
9500,81117,parallel
9500,161336,sequential
10000,87971,parallel
10000,182373,sequential
5000,25445,parallel
5000,52160,sequential
5500,27635,parallel
5500,55706,sequential
6000,33470,parallel
6000,68792,sequential
6500,38387,parallel
6500,79165,sequential
7000,44568,parallel
7000,88398,sequential
7500,53290,parallel
7500,102956,sequential
8000,55490,parallel
8000,125374,sequential
8500,62106,parallel
8500,133487,sequential
9000,68928,parallel
9000,148487,sequential
9500,80833,parallel
9500,164853,sequential
10000,88249,parallel
10000,179726,sequential
5000,23590,parallel
5000,47643,sequential
5500,28046,parallel
5500,53705,sequential
6000,35490,parallel
6000,64849,sequential
6500,41462,parallel
6500,79621,sequential
7000,44340,parallel
7000,89540,sequential
7500,50544,parallel
7500,103610,sequential
8000,56070,parallel
8000,114558,sequential
8500,66141,parallel
8500,133221,sequential
9000,72382,parallel
9000,146363,sequential
9500,80910,parallel
9500,167952,sequential
10000,89014,parallel
10000,185895,sequential
5000,23606,parallel
5000,44577,sequential
5500,31892,parallel
5500,56705,sequential
6000,34250,parallel
6000,67890,sequential
6500,40444,parallel
6500,73563,sequential
7000,47980,parallel
7000,92342,sequential
7500,49497,parallel
7500,106401,sequential
8000,60047,parallel
8000,120744,sequential
8500,65741,parallel
8500,137279,sequential
9000,72344,parallel
9000,154484,sequential
9500,79470,parallel
9500,167542,sequential
10000,90371,parallel
10000,187598,sequential
5000,23639,parallel
5000,46918,sequential
5500,31460,parallel
5500,56991,sequential
6000,35970,parallel
6000,66982,sequential
6500,41045,parallel
6500,78804,sequential
7000,44568,parallel
7000,90951,sequential
7500,49392,parallel
7500,103000,sequential
8000,59005,parallel
8000,117253,sequential
8500,64832,parallel
8500,127370,sequential
9000,72246,parallel
9000,145293,sequential
9500,80417,parallel
9500,167024,sequential
10000,87434,parallel
10000,176498,sequential
5000,26369,parallel
5000,49608,sequential
5500,27954,parallel
5500,60305,sequential
6000,32509,parallel
6000,68817,sequential
6500,38811,parallel
6500,85400,sequential
7000,47105,parallel
7000,90342,sequential
7500,49478,parallel
7500,108578,sequential
8000,59893,parallel
8000,119936,sequential
8500,67350,parallel
8500,129114,sequential
9000,72131,parallel
9000,157679,sequential
9500,79615,parallel
9500,170325,sequential
10000,88683,parallel
10000,185820,sequential
5000,23572,parallel
5000,44905,sequential
5500,30579,parallel
5500,58750,sequential
6000,34010,parallel
6000,71849,sequential
6500,39939,parallel
6500,80620,sequential
7000,47934,parallel
7000,91278,sequential
7500,49053,parallel
7500,107456,sequential
8000,59462,parallel
8000,120514,sequential
8500,65740,parallel
8500,132549,sequential
9000,75168,parallel
9000,150331,sequential
9500,81444,parallel
9500,162859,sequential
10000,87651,parallel
10000,167839,sequential
5000,26829,parallel
5000,49284,sequential
5500,27806,parallel
5500,56332,sequential
6000,32323,parallel
6000,67605,sequential
6500,41070,parallel
6500,79702,sequential
7000,47650,parallel
7000,95110,sequential
7500,49314,parallel
7500,102224,sequential
8000,60361,parallel
8000,129413,sequential
8500,66332,parallel
8500,131786,sequential
9000,77719,parallel
9000,146980,sequential
9500,81332,parallel
9500,169875,sequential
10000,89897,parallel
10000,182791,sequential
5000,26634,parallel
5000,48468,sequential
5500,31830,parallel
5500,58803,sequential
6000,35346,parallel
6000,63802,sequential
6500,41165,parallel
6500,82548,sequential
7000,47007,parallel
7000,91227,sequential
7500,49250,parallel
7500,106361,sequential
8000,59219,parallel
8000,119277,sequential
8500,65434,parallel
8500,134462,sequential
9000,73127,parallel
9000,145477,sequential
9500,81133,parallel
9500,160526,sequential
10000,88012,parallel
10000,195903,sequential
5000,23755,parallel
5000,45226,sequential
5500,30847,parallel
5500,59577,sequential
6000,33591,parallel
6000,71731,sequential
6500,41708,parallel
6500,85065,sequential
7000,47537,parallel
7000,90647,sequential
7500,50616,parallel
7500,105552,sequential
8000,58867,parallel
8000,118829,sequential
8500,66591,parallel
8500,132707,sequential
9000,73489,parallel
9000,145287,sequential
9500,81433,parallel
9500,172619,sequential
10000,87843,parallel
10000,187321,sequential
5000,25812,parallel
5000,42734,sequential
5500,31677,parallel
5500,56127,sequential
6000,34629,parallel
6000,68259,sequential
6500,41640,parallel
6500,77871,sequential
7000,47302,parallel
7000,86130,sequential
7500,48952,parallel
7500,95743,sequential
8000,58397,parallel
8000,120153,sequential
8500,67227,parallel
8500,132029,sequential
9000,73127,parallel
9000,151569,sequential
9500,80852,parallel
9500,162643,sequential
10000,88671,parallel
10000,176133,sequential
5000,27454,parallel
5000,46595,sequential
5500,29862,parallel
5500,57968,sequential
6000,32873,parallel
6000,63631,sequential
6500,37925,parallel
6500,79655,sequential
7000,46973,parallel
7000,93915,sequential
7500,50752,parallel
7500,100183,sequential
8000,60021,parallel
8000,112668,sequential
8500,62129,parallel
8500,133953,sequential
9000,72841,parallel
9000,144323,sequential
9500,81757,parallel
9500,165971,sequential
10000,89131,parallel
10000,179527,sequential
5000,24126,parallel
5000,51220,sequential
5500,27952,parallel
5500,57157,sequential
6000,33160,parallel
6000,66388,sequential
6500,38365,parallel
6500,80494,sequential
7000,43525,parallel
7000,92585,sequential
7500,53352,parallel
7500,109928,sequential
8000,55122,parallel
8000,121548,sequential
8500,62306,parallel
8500,134537,sequential
9000,69783,parallel
9000,150436,sequential
9500,81242,parallel
9500,167653,sequential
10000,88778,parallel
10000,181025,sequential
5000,23724,parallel
5000,49552,sequential
5500,28614,parallel
5500,54053,sequential
6000,34505,parallel
6000,71247,sequential
6500,38994,parallel
6500,78286,sequential
7000,44082,parallel
7000,94939,sequential
7500,53681,parallel
7500,99833,sequential
8000,57658,parallel
8000,115744,sequential
8500,65441,parallel
8500,131366,sequential
9000,75899,parallel
9000,146416,sequential
9500,79471,parallel
9500,163986,sequential
10000,89706,parallel
10000,178805,sequential
5000,23962,parallel
5000,44792,sequential
5500,32119,parallel
5500,55565,sequential
6000,35588,parallel
6000,69159,sequential
6500,42585,parallel
6500,82673,sequential
7000,44964,parallel
7000,89576,sequential
7500,49852,parallel
7500,99858,sequential
8000,60443,parallel
8000,115917,sequential
8500,66819,parallel
8500,128264,sequential
9000,74002,parallel
9000,145485,sequential
9500,80228,parallel
9500,161165,sequential
10000,88142,parallel
10000,185433,sequential
5000,26424,parallel
5000,42504,sequential
5500,29008,parallel
5500,60771,sequential
6000,32878,parallel
6000,68638,sequential
6500,39145,parallel
6500,79610,sequential
7000,48037,parallel
7000,89712,sequential
7500,49067,parallel
7500,100993,sequential
8000,60431,parallel
8000,118278,sequential
8500,64173,parallel
8500,126162,sequential
9000,73012,parallel
9000,143847,sequential
9500,80812,parallel
9500,172908,sequential
10000,86458,parallel
10000,172160,sequential
5000,23641,parallel
5000,47796,sequential
5500,27858,parallel
5500,56810,sequential
6000,33417,parallel
6000,67481,sequential
6500,38162,parallel
6500,73472,sequential
7000,43924,parallel
7000,90123,sequential
7500,53744,parallel
7500,97619,sequential
8000,55899,parallel
8000,122191,sequential
8500,65295,parallel
8500,139389,sequential
9000,71498,parallel
9000,147800,sequential
9500,77104,parallel
9500,171454,sequential
10000,87939,parallel
10000,178288,sequential
5000,23437,parallel
5000,46618,sequential
5500,28932,parallel
5500,57029,sequential
6000,35794,parallel
6000,68110,sequential
6500,41400,parallel
6500,77372,sequential
7000,44779,parallel
7000,92917,sequential
7500,49616,parallel
7500,108397,sequential
8000,56274,parallel
8000,113149,sequential
8500,67501,parallel
8500,139719,sequential
9000,75360,parallel
9000,146331,sequential
9500,77658,parallel
9500,160610,sequential
10000,90774,parallel
10000,182628,sequential
5000,24190,parallel
5000,45643,sequential
5500,31535,parallel
5500,53505,sequential
6000,35162,parallel
6000,67849,sequential
6500,43445,parallel
6500,83469,sequential
7000,46019,parallel
7000,96108,sequential
7500,51012,parallel
7500,105753,sequential
8000,57482,parallel
8000,114893,sequential
8500,65829,parallel
8500,131058,sequential
9000,72166,parallel
9000,151187,sequential
9500,80807,parallel
9500,171582,sequential
10000,87850,parallel
10000,177892,sequential
5000,25737,parallel
5000,44918,sequential
5500,31335,parallel
5500,56112,sequential
6000,35189,parallel
6000,68514,sequential
6500,41198,parallel
6500,81938,sequential
7000,47254,parallel
7000,93716,sequential
7500,49453,parallel
7500,99636,sequential
8000,59267,parallel
8000,118405,sequential
8500,66064,parallel
8500,132097,sequential
9000,72267,parallel
9000,143203,sequential
9500,80609,parallel
9500,162899,sequential
10000,86411,parallel
10000,186168,sequential
5000,27208,parallel
5000,48283,sequential
5500,29998,parallel
5500,55960,sequential
6000,32706,parallel
6000,66697,sequential
6500,38574,parallel
6500,83765,sequential
7000,47462,parallel
7000,92670,sequential
7500,49789,parallel
7500,106701,sequential
8000,59553,parallel
8000,116322,sequential
8500,65259,parallel
8500,131358,sequential
9000,75790,parallel
9000,146865,sequential
9500,81791,parallel
9500,164661,sequential
10000,85796,parallel
10000,177443,sequential
5000,24584,parallel
5000,53136,sequential
5500,27640,parallel
5500,56548,sequential
6000,32971,parallel
6000,69571,sequential
6500,39776,parallel
6500,81362,sequential
7000,46675,parallel
7000,98307,sequential
7500,50015,parallel
7500,106440,sequential
8000,59527,parallel
8000,118284,sequential
8500,64124,parallel
8500,134750,sequential
9000,75741,parallel
9000,144479,sequential
9500,82488,parallel
9500,158788,sequential
10000,85252,parallel
10000,180770,sequential
5000,23432,parallel
5000,48665,sequential
5500,28979,parallel
5500,55457,sequential
6000,33095,parallel
6000,67784,sequential
6500,38072,parallel
6500,75815,sequential
7000,44647,parallel
7000,93852,sequential
7500,53159,parallel
7500,105724,sequential
8000,55213,parallel
8000,117676,sequential
8500,61356,parallel
8500,137238,sequential
9000,70657,parallel
9000,150539,sequential
9500,80714,parallel
9500,162841,sequential
10000,90226,parallel
10000,182522,sequential
5000,23831,parallel
5000,47791,sequential
5500,28390,parallel
5500,56567,sequential
6000,32970,parallel
6000,65123,sequential
6500,39668,parallel
6500,79559,sequential
7000,44490,parallel
7000,92790,sequential
7500,52260,parallel
7500,104226,sequential
8000,58763,parallel
8000,125254,sequential
8500,66365,parallel
8500,134518,sequential
9000,71513,parallel
9000,145418,sequential
9500,78103,parallel
9500,171034,sequential
10000,89502,parallel
10000,178863,sequential
5000,23621,parallel
5000,46242,sequential
5500,28990,parallel
5500,58142,sequential
6000,35807,parallel
6000,68899,sequential
6500,41111,parallel
6500,76372,sequential
7000,45211,parallel
7000,98505,sequential
7500,50849,parallel
7500,112061,sequential
8000,56370,parallel
8000,117195,sequential
8500,65354,parallel
8500,136987,sequential
9000,74224,parallel
9000,159387,sequential
9500,81955,parallel
9500,168149,sequential
10000,88959,parallel
10000,177517,sequential
5000,23177,parallel
5000,48696,sequential
5500,28333,parallel
5500,57297,sequential
6000,34780,parallel
6000,67583,sequential
6500,39568,parallel
6500,84366,sequential
7000,43918,parallel
7000,98017,sequential
7500,53310,parallel
7500,100112,sequential
8000,55875,parallel
8000,121281,sequential
8500,63306,parallel
8500,127828,sequential
9000,74462,parallel
9000,150123,sequential
9500,77708,parallel
9500,170352,sequential
10000,89747,parallel
10000,180167,sequential
